packet_index is ,336, and delayed_time is ,91.000000, [usec]
packet_index is ,337, and delayed_time is ,138.000000, [usec]
packet_index is ,338, and delayed_time is ,91.000000, [usec]
packet_index is ,339, and delayed_time is ,148.000000, [usec]
packet_index is ,340, and delayed_time is ,146.000000, [usec]
packet_index is ,341, and delayed_time is ,131.000000, [usec]
packet_index is ,342, and delayed_time is ,125.000000, [usec]
packet_index is ,343, and delayed_time is ,133.000000, [usec]
packet_index is ,344, and delayed_time is ,129.000000, [usec]
packet_index is ,345, and delayed_time is ,123.000000, [usec]
packet_index is ,346, and delayed_time is ,123.000000, [usec]
packet_index is ,347, and delayed_time is ,121.000000, [usec]
packet_index is ,348, and delayed_time is ,123.000000, [usec]
packet_index is ,349, and delayed_time is ,128.000000, [usec]
packet_index is ,350, and delayed_time is ,127.000000, [usec]
packet_index is ,351, and delayed_time is ,127.000000, [usec]
packet_index is ,352, and delayed_time is ,136.000000, [usec]
packet_index is ,353, and delayed_time is ,138.000000, [usec]
packet_index is ,354, and delayed_time is ,126.000000, [usec]
packet_index is ,355, and delayed_time is ,134.000000, [usec]
packet_index is ,356, and delayed_time is ,136.000000, [usec]
packet_index is ,357, and delayed_time is ,141.000000, [usec]
packet_index is ,358, and delayed_time is ,143.000000, [usec]
packet_index is ,359, and delayed_time is ,102.000000, [usec]
packet_index is ,360, and delayed_time is ,116.000000, [usec]
packet_index is ,361, and delayed_time is ,148.000000, [usec]
packet_index is ,362, and delayed_time is ,141.000000, [usec]
packet_index is ,363, and delayed_time is ,95.000000, [usec]
packet_index is ,364, and delayed_time is ,105.000000, [usec]
packet_index is ,365, and delayed_time is ,163.000000, [usec]
packet_index is ,366, and delayed_time is ,148.000000, [usec]
packet_index is ,367, and delayed_time is ,126.000000, [usec]
packet_index is ,368, and delayed_time is ,127.000000, [usec]
packet_index is ,369, and delayed_time is ,79.000000, [usec]
packet_index is ,370, and delayed_time is ,124.000000, [usec]
packet_index is ,371, and delayed_time is ,124.000000, [usec]
packet_index is ,372, and delayed_time is ,135.000000, [usec]
packet_index is ,373, and delayed_time is ,170.000000, [usec]
packet_index is ,374, and delayed_time is ,129.000000, [usec]
packet_index is ,375, and delayed_time is ,142.000000, [usec]
packet_index is ,376, and delayed_time is ,132.000000, [usec]
packet_index is ,377, and delayed_time is ,131.000000, [usec]
packet_index is ,378, and delayed_time is ,140.000000, [usec]
packet_index is ,379, and delayed_time is ,131.000000, [usec]
packet_index is ,380, and delayed_time is ,133.000000, [usec]
packet_index is ,381, and delayed_time is ,140.000000, [usec]
packet_index is ,382, and delayed_time is ,131.000000, [usec]
packet_index is ,383, and delayed_time is ,134.000000, [usec]
packet_index is ,384, and delayed_time is ,167.000000, [usec]
packet_index is ,385, and delayed_time is ,129.000000, [usec]
packet_index is ,386, and delayed_time is ,135.000000, [usec]
packet_index is ,387, and delayed_time is ,128.000000, [usec]
packet_index is ,388, and delayed_time is ,140.000000, [usec]
packet_index is ,389, and delayed_time is ,129.000000, [usec]
packet_index is ,390, and delayed_time is ,141.000000, [usec]
packet_index is ,391, and delayed_time is ,158.000000, [usec]
packet_index is ,392, and delayed_time is ,89.000000, [usec]
packet_index is ,393, and delayed_time is ,96.000000, [usec]
packet_index is ,394, and delayed_time is ,121.000000, [usec]
packet_index is ,395, and delayed_time is ,152.000000, [usec]
packet_index is ,396, and delayed_time is ,145.000000, [usec]
packet_index is ,397, and delayed_time is ,134.000000, [usec]
packet_index is ,398, and delayed_time is ,127.000000, [usec]
packet_index is ,399, and delayed_time is ,141.000000, [usec]
packet_index is ,400, and delayed_time is ,124.000000, [usec]
packet_index is ,401, and delayed_time is ,124.000000, [usec]
packet_index is ,402, and delayed_time is ,123.000000, [usec]
packet_index is ,403, and delayed_time is ,123.000000, [usec]
packet_index is ,404, and delayed_time is ,122.000000, [usec]
packet_index is ,405, and delayed_time is ,139.000000, [usec]
packet_index is ,406, and delayed_time is ,128.000000, [usec]
packet_index is ,407, and delayed_time is ,127.000000, [usec]
packet_index is ,408, and delayed_time is ,141.000000, [usec]
packet_index is ,409, and delayed_time is ,134.000000, [usec]
packet_index is ,410, and delayed_time is ,135.000000, [usec]
packet_index is ,411, and delayed_time is ,142.000000, [usec]
packet_index is ,412, and delayed_time is ,82.000000, [usec]
packet_index is ,413, and delayed_time is ,139.000000, [usec]
packet_index is ,414, and delayed_time is ,136.000000, [usec]
packet_index is ,415, and delayed_time is ,143.000000, [usec]
packet_index is ,416, and delayed_time is ,143.000000, [usec]
packet_index is ,417, and delayed_time is ,141.000000, [usec]
packet_index is ,418, and delayed_time is ,94.000000, [usec]
packet_index is ,419, and delayed_time is ,142.000000, [usec]
packet_index is ,420, and delayed_time is ,73.000000, [usec]
packet_index is ,421, and delayed_time is ,160.000000, [usec]
packet_index is ,422, and delayed_time is ,110.000000, [usec]
packet_index is ,423, and delayed_time is ,133.000000, [usec]
packet_index is ,424, and delayed_time is ,138.000000, [usec]
packet_index is ,425, and delayed_time is ,127.000000, [usec]
packet_index is ,426, and delayed_time is ,128.000000, [usec]
packet_index is ,427, and delayed_time is ,80.000000, [usec]
packet_index is ,428, and delayed_time is ,134.000000, [usec]
packet_index is ,429, and delayed_time is ,128.000000, [usec]
packet_index is ,430, and delayed_time is ,169.000000, [usec]
