start--------------------------------------------
Received frame with timestamp ,1687241685.69, E2E delay ,2.12826752663, and size ,327680,
Received frame with timestamp ,1687241685.78, E2E delay ,2.15411329269, and size ,327680,
Received frame with timestamp ,1687241685.93, E2E delay ,2.10956430435, and size ,327680,
Received frame with timestamp ,1687241685.98, E2E delay ,2.15068984032, and size ,327680,
Received frame with timestamp ,1687241686.07, E2E delay ,2.15604352951, and size ,327680,
Received frame with timestamp ,1687241686.12, E2E delay ,2.21451354027, and size ,327680,
Received frame with timestamp ,1687241686.23, E2E delay ,2.29313206673, and size ,327680,
Received frame with timestamp ,1687241686.38, E2E delay ,2.20772361755, and size ,327680,
Received frame with timestamp ,1687241686.53, E2E delay ,2.16199088097, and size ,327680,
Received frame with timestamp ,1687241686.6, E2E delay ,2.19430184364, and size ,327680,
Received frame with timestamp ,1687241686.74, E2E delay ,2.16144108772, and size ,327680,
Received frame with timestamp ,1687241686.86, E2E delay ,2.10282349586, and size ,327680,
Received frame with timestamp ,1687241686.98, E2E delay ,2.12514853477, and size ,327680,
Received frame with timestamp ,1687241687.18, E2E delay ,1.98810124397, and size ,327680,
Received frame with timestamp ,1687241687.22, E2E delay ,2.03686714172, and size ,327680,
Received frame with timestamp ,1687241687.43, E2E delay ,1.95490765572, and size ,327680,
Received frame with timestamp ,1687241687.58, E2E delay ,1.93493652344, and size ,327680,
Received frame with timestamp ,1687241687.62, E2E delay ,1.9619166851, and size ,327680,
Received frame with timestamp ,1687241687.72, E2E delay ,1.92827367783, and size ,327680,
Received frame with timestamp ,1687241687.85, E2E delay ,1.89859890938, and size ,327680,
Received frame with timestamp ,1687241687.91, E2E delay ,1.90530776978, and size ,327680,
Received frame with timestamp ,1687241688.1, E2E delay ,1.79189133644, and size ,327680,
Received frame with timestamp ,1687241688.14, E2E delay ,1.86233067513, and size ,327680,
Received frame with timestamp ,1687241688.23, E2E delay ,1.86219143867, and size ,327680,
Received frame with timestamp ,1687241688.31, E2E delay ,1.86993145943, and size ,327680,
Received frame with timestamp ,1687241688.42, E2E delay ,1.87247419357, and size ,327680,
Received frame with timestamp ,1687241688.6, E2E delay ,1.75951886177, and size ,327680,
Received frame with timestamp ,1687241688.74, E2E delay ,1.7590200901, and size ,327680,
Received frame with timestamp ,1687241688.81, E2E delay ,1.8631207943, and size ,327680,
Received frame with timestamp ,1687241688.98, E2E delay ,1.83701348305, and size ,327680,
Received frame with timestamp ,1687241689.14, E2E delay ,1.77249646187, and size ,327680,
Received frame with timestamp ,1687241689.21, E2E delay ,1.87878203392, and size ,327680,
Received frame with timestamp ,1687241689.24, E2E delay ,1.90858149529, and size ,327680,
Received frame with timestamp ,1687241689.28, E2E delay ,2.0067243576, and size ,327680,
Received frame with timestamp ,1687241689.36, E2E delay ,2.02123355865, and size ,327680,
Received frame with timestamp ,1687241689.44, E2E delay ,2.01959013939, and size ,327680,
Received frame with timestamp ,1687241689.59, E2E delay ,2.00426125526, and size ,327680,
Received frame with timestamp ,1687241689.65, E2E delay ,2.00089859962, and size ,327680,
Received frame with timestamp ,1687241689.8, E2E delay ,1.91267800331, and size ,327680,
Received frame with timestamp ,1687241689.84, E2E delay ,1.97317910194, and size ,327680,
Received frame with timestamp ,1687241689.9, E2E delay ,2.00921964645, and size ,327680,
Received frame with timestamp ,1687241689.97, E2E delay ,2.08823728561, and size ,327680,
Received frame with timestamp ,1687241690.07, E2E delay ,2.09251880646, and size ,327680,
Received frame with timestamp ,1687241690.15, E2E delay ,2.10026884079, and size ,327680,
Received frame with timestamp ,1687241690.23, E2E delay ,2.09653162956, and size ,327680,
Received frame with timestamp ,1687241690.37, E2E delay ,2.07997870445, and size ,327680,
Received frame with timestamp ,1687241690.5, E2E delay ,2.05441045761, and size ,327680,
Received frame with timestamp ,1687241690.57, E2E delay ,2.11256170273, and size ,327680,
Received frame with timestamp ,1687241690.73, E2E delay ,2.01943707466, and size ,327680,
Received frame with timestamp ,1687241690.88, E2E delay ,2.00971007347, and size ,327680,
Received frame with timestamp ,1687241690.98, E2E delay ,2.01418805122, and size ,327680,
Received frame with timestamp ,1687241691.14, E2E delay ,1.97601413727, and size ,327680,
Received frame with timestamp ,1687241691.21, E2E delay ,2.06850194931, and size ,327680,
Received frame with timestamp ,1687241691.34, E2E delay ,2.09108781815, and size ,327680,
Received frame with timestamp ,1687241691.44, E2E delay ,2.1745057106, and size ,327680,
Received frame with timestamp ,1687241691.6, E2E delay ,2.30129432678, and size ,327680,
Received frame with timestamp ,1687241691.67, E2E delay ,2.39395427704, and size ,327680,
Received frame with timestamp ,1687241691.74, E2E delay ,2.40837240219, and size ,327680,
Received frame with timestamp ,1687241691.86, E2E delay ,2.4055287838, and size ,327680,
Received frame with timestamp ,1687241691.94, E2E delay ,2.39636826515, and size ,327680,
Received frame with timestamp ,1687241692.01, E2E delay ,2.46337032318, and size ,327680,
Received frame with timestamp ,1687241692.14, E2E delay ,2.39446902275, and size ,327680,
Received frame with timestamp ,1687241692.24, E2E delay ,2.37463927269, and size ,327680,
Received frame with timestamp ,1687241692.31, E2E delay ,2.42993998528, and size ,327680,
Received frame with timestamp ,1687241692.4, E2E delay ,2.50274586678, and size ,327680,
Received frame with timestamp ,1687241692.52, E2E delay ,2.50068974495, and size ,327680,
Received frame with timestamp ,1687241692.61, E2E delay ,2.47855424881, and size ,327680,
Received frame with timestamp ,1687241692.78, E2E delay ,2.45080184937, and size ,327680,
Received frame with timestamp ,1687241692.82, E2E delay ,2.58855056763, and size ,327680,
Received frame with timestamp ,1687241692.97, E2E delay ,2.56275606155, and size ,327680,
Received frame with timestamp ,1687241693.1, E2E delay ,2.51592302322, and size ,327680,
Received frame with timestamp ,1687241693.18, E2E delay ,2.58250951767, and size ,327680,
Received frame with timestamp ,1687241693.46, E2E delay ,2.42355895042, and size ,327680,
Received frame with timestamp ,1687241693.56, E2E delay ,2.38385486603, and size ,327680,
Received frame with timestamp ,1687241693.76, E2E delay ,2.28169536591, and size ,327680,
Received frame with timestamp ,1687241693.97, E2E delay ,2.13785886765, and size ,327680,
Received frame with timestamp ,1687241694.12, E2E delay ,2.11060166359, and size ,327680,
Received frame with timestamp ,1687241694.27, E2E delay ,2.13490080833, and size ,327680,
Received frame with timestamp ,1687241694.35, E2E delay ,2.16702032089, and size ,327680,
Received frame with timestamp ,1687241694.48, E2E delay ,2.12168645859, and size ,327680,
Received frame with timestamp ,1687241694.55, E2E delay ,2.1449341774, and size ,327680,
Received frame with timestamp ,1687241694.61, E2E delay ,2.21986365318, and size ,327680,
Received frame with timestamp ,1687241694.69, E2E delay ,2.27669525146, and size ,327680,
Received frame with timestamp ,1687241694.79, E2E delay ,2.2455933094, and size ,327680,
Received frame with timestamp ,1687241695.06, E2E delay ,2.09944820404, and size ,327680,
Received frame with timestamp ,1687241695.16, E2E delay ,2.10710453987, and size ,327680,
Received frame with timestamp ,1687241695.31, E2E delay ,2.05944156647, and size ,327680,
Received frame with timestamp ,1687241695.4, E2E delay ,2.08751511574, and size ,327680,
Received frame with timestamp ,1687241695.5, E2E delay ,2.0776283741, and size ,327680,
Received frame with timestamp ,1687241695.62, E2E delay ,2.07298946381, and size ,327680,
Received frame with timestamp ,1687241695.69, E2E delay ,2.15131115913, and size ,327680,
Received frame with timestamp ,1687241695.89, E2E delay ,2.09495615959, and size ,327680,
Received frame with timestamp ,1687241696.09, E2E delay ,2.08793473244, and size ,327680,
Received frame with timestamp ,1687241696.15, E2E delay ,2.14437055588, and size ,327680,
Received frame with timestamp ,1687241696.19, E2E delay ,2.23658943176, and size ,327680,
Received frame with timestamp ,1687241696.24, E2E delay ,2.2571709156, and size ,327680,
Received frame with timestamp ,1687241696.31, E2E delay ,2.29830026627, and size ,327680,
Received frame with timestamp ,1687241696.54, E2E delay ,2.14824318886, and size ,327680,
Received frame with timestamp ,1687241696.6, E2E delay ,2.22948026657, and size ,327680,
Received frame with timestamp ,1687241696.67, E2E delay ,2.22154998779, and size ,327680,
Received frame with timestamp ,1687241696.75, E2E delay ,2.24554562569, and size ,327680,
Received frame with timestamp ,1687241697.02, E2E delay ,2.09896087646, and size ,327680,
Received frame with timestamp ,1687241697.09, E2E delay ,2.09117722511, and size ,327680,
Received frame with timestamp ,1687241697.16, E2E delay ,2.09364509583, and size ,327680,
Received frame with timestamp ,1687241697.23, E2E delay ,2.13224935532, and size ,327680,
Received frame with timestamp ,1687241697.5, E2E delay ,2.00367879868, and size ,327680,
Received frame with timestamp ,1687241697.57, E2E delay ,1.99621486664, and size ,327680,
Received frame with timestamp ,1687241697.61, E2E delay ,2.0747385025, and size ,327680,
Received frame with timestamp ,1687241697.71, E2E delay ,2.05631542206, and size ,327680,
Received frame with timestamp ,1687241697.88, E2E delay ,2.01752519608, and size ,327680,
Received frame with timestamp ,1687241698.02, E2E delay ,2.04078412056, and size ,327680,
Received frame with timestamp ,1687241698.21, E2E delay ,1.91908717155, and size ,327680,
Received frame with timestamp ,1687241698.27, E2E delay ,1.98801803589, and size ,327680,
Received frame with timestamp ,1687241698.36, E2E delay ,2.08469891548, and size ,327680,
Received frame with timestamp ,1687241698.5, E2E delay ,2.00952029228, and size ,327680,
Received frame with timestamp ,1687241698.58, E2E delay ,2.05281877518, and size ,327680,
Received frame with timestamp ,1687241698.68, E2E delay ,2.01347017288, and size ,327680,
Received frame with timestamp ,1687241698.78, E2E delay ,2.03196620941, and size ,327680,
Received frame with timestamp ,1687241698.9, E2E delay ,1.97229862213, and size ,327680,
Received frame with timestamp ,1687241698.96, E2E delay ,1.9998254776, and size ,327680,
Received frame with timestamp ,1687241699.13, E2E delay ,1.92307424545, and size ,327680,
Received frame with timestamp ,1687241699.19, E2E delay ,1.92521262169, and size ,327680,
Received frame with timestamp ,1687241699.25, E2E delay ,1.98085665703, and size ,327680,
Received frame with timestamp ,1687241699.33, E2E delay ,2.02380728722, and size ,327680,
Received frame with timestamp ,1687241699.5, E2E delay ,2.00416970253, and size ,327680,
Received frame with timestamp ,1687241699.72, E2E delay ,1.91576361656, and size ,327680,
Received frame with timestamp ,1687241699.77, E2E delay ,1.92356324196, and size ,327680,
Received frame with timestamp ,1687241699.82, E2E delay ,1.98183608055, and size ,327680,
Received frame with timestamp ,1687241699.89, E2E delay ,1.96387457848, and size ,327680,
